Ladino             Spanish
abistru             avestruz
alicha              pescado muy pequeño
aranya              araña
azno                burro, asno
aznos               burros, asnos
elefante            elefante
estridia            ostra
gamba               gamba
gato                gato
gatos               gatos
gatiko              
gaya                zarguela
gayina              gallina
gayinas             gallinas
gayna               pollo
gaynas              pollos
gayo                gallo
gayos               gallos
indiana             pavo
indianas            pavos
indiano             pavo
kodrero             cordero
kodreros            corderos
kukuvaya            lechuza
kulevra             serpiente
kulevras            serpientes
lonso               oso
lonsos              osos
lovo                lobo
lovos               lobos
oveja               oveja
ovejas              ovejas
palaza              pato
palazas             patos
pasharo             pájaro
pasharos            pájaros
pato                ganso, oca
patos               gansos, ocas
perro               perro
perros              perros
peshkado            pescado
peshkados           pescados
poyo                pollo
poyos               pollos
renar               zorro
sigonya             cigüeña
toro                toro
toros               toros
