Ladino             Turkish
abistru             devekuşu
alicha              kıraça, küçük balık
aranya              örümcek
azno                eşek
aznos               eşek
bakanyado           morina balığı
barbunya            barbunya balığı
elefante            fil
estridia            istiridye
gamba               iri karides
gato                kedi
gatos               kediler
gatiko              yavru kedi
gaya                gelincik, kaya balığı
gayina              tavuk
gayinas             tavuk
gayna               piliç
gaynas              tavuklar
gayo                horoz
gayos               horoz
indiana             hindi
indianas            hindi
indiano             hindi
kodrero             kuzu
kodreros            kuzu
kukuvaya            baykuş
kulevra             yılan
kulevras            yılan
lonso               ayı
lonsos              ayılar
lovo                kurt
lovos               kurt
oveja               koyun
ovejas              koyun
palaza              ördek
palazas             ördek
pasharo             kuş
pasharos            
pato                kaz
patos               kaz
perro               köpek
perros              köpek
peshkado            balık
peshkados           balık
poyo                piliç
poyos               
renar               tilki
sigonya             leylek
toro                boğa
toros               boğa
