Ladino             English
abistru             ostrich
alicha              fish, very small
aranya              spider
azno                donkey
aznos               donkeys
bakanyado           cod fish
barbunya            red mullet fish
elefante            elephant
estridia            oyster
gamba               prawn
gato                cat
gatos               cats
gatiko              small cat
gaya                forkbeard fish
gayina              hen
gayinas             hen
gayna               chicken, chick
gaynas              chickens, chicks
gayo                cock
gayos               cocks
indiana             turkey
indianas            turkeys
indiano             turkey
insekto             insect
insektos            insects
kodrero             lamb
kodreros            lambs
kukuvaya            owl
kulevra             snake
kulevras            snakes
leon                lion
leonesa             lioness
leones              lions
leonesas            lionesses
lonso               bear
lonsos              beers
lopardo             leopard
leopardesa          leopard
lovo                wolf
lovos               wolfs
ormiga              ant
ormigas             ants
oveja               sheep
ovejas              sheep
palaza              duck
palazas             ducks
pasharo             bird
pasharos            birds
pato                goose
patos               goose
perro               dog
perros              dogs
peshkado            fish
peshkados           fish
poyo                chicken, chick
poyos               chickens, chicks
raton               rat
renar               fox
sigonya             stork
tigro               tigre
tigresa             tigre
toro                bull
toros               bulls
