Ladino             English
agua                water
alkol               alcohol
bira                beer
chay                tea
espreso             espresso
espresos            espressos
kafe                coffee
kafiko              (little) coffee
kapuchino           capuchino
kapuchinos          capuchinos
kave                coffee, café
kokakola            coke
leche               milk
shampanya           champagne
sumo                juice
vino                wine
vino kolorado       red wine
