Ladino             Spanish
agua                agua
alkol               alcohol
bira                cerveza
chay                te
espreso             café exprés
espresos            cafes exprés
kafe                café
kafiko              cafecito
kapuchino           capuchino
kapuchinos          capuchinos
kave                café
kokakola            coca
leche               leche
shampanya           champán, champaña
sumo                zumo, jumo, jugo
vino                vino
vino kolorado       vino tinto
