Ladino             English
avagariko           slowly
ermaniko            (little) brother
ermanika            (little) sister
ermanikos           (little) brothers
ermanikas           (little) sisters
filmiko             (little) film
filmikos            (little) films
ijiko               (little) boy
kafiko              (little) coffee
kandelika           little candle
kandelikas          little candles
mezika              (little) table
mezikas             (little) tables
papeliko            (little) paper
papelikos           (little) papers
prestiko            quick
sivdadika           (little) city
sivdadikas          (little) cities
