Ladino             Spanish
avuelo              abuelo
avuela              abuela
avuelos             abuelos
avuelas             abuelas
bohor               primogénito
bohora              primogénita
ermaniko            hermanito
ermanika            hermanita
ermanikos           hermanitos
ermanikas           hermanitas
ermano              hermano
ermana              hermana
ermanos             hermanos
ermanas             hermanas
esfuegro            suegro
esfuegra            suegra
esfuegros           suegros
esfuegras           suegras
ijiko               
ijo                 hijo
ija                 hija
ijos                hijos
ijas                hijas
inyeto              nieto
inyeta              nieta
inyetos             nietos
inyetas             nietas
kreatura            niño, criatura
kreaturas           niños, criaturas
madre               madre
madres              madres
mama                mamá
marido              marido
maridos             maridos
mujer               mujer
mujeres             mujeres
nono                abuelo
nona                abuela
nonos               abuelos
nonas               abuelas
padre               padre
padres              padres
padres              padres
papa                papá
papu                abuelo
primo               primo
prima               prima
primos              primos
primas              primas
tia                 tía
tias                tías
tio                 tío
tios                tíos
vava                abuela
yerno               yerno
yernos              yernos
