Ladino             Turkish
abrikok             kayısı
afarsemon           hurma (Trabzon hurması)
agranada            nar
agranadas           nar
agras               koruk
ahududu             ahududu
almendra            badem
almendras           badem
ananas              ananas
asorva              burnuna çekme
avokado             avokado
avramila            can eriği
avramilas           can eriği
avyana              fındık
banana              muz
bananas             muz
bimbriyo            
datile              hurma
eshkidunya          Muşmula
eshkidunyas         Muşmulalar
frambuaz            ahududu
freza               çilek
frezas              çilekler
fruto del pino      kozalak
greyfrut            greyfrut, altıntop
harova              keçiboynuzu
hurma               
igo                 incir
karpuz              karpuz
karpuzes            karpuz
limon               limon
limones             limon
mandarina           mandarina
mango               mango
mansana             elma
mansanas            elma
melon               kavun
mora                dut
muez                ceviz
muezes              ceviz
mushmula            muşmula
narandja            
pera                armut
peras               armutlar
pomela              greyfurt
portokal            portakal
portokales          portakal
sabra               Frenk yemişi
salsamora           böğürtlen
sereza              kiraz
serezas             kirazlar
shefteli            şeftali
sheftelis           şeftali
torondja            greyfrut, altıntop
uva                 üzüm
uvas                üzümler
vishna              
zirguela            erik
zirguelas           erikler
