Ladino             English
abudaho             dried salted fish roe
alburniya           fried eggplant in tomato sauce
alkide              sugar candy
anchusa             spinach baked with egg and cheese
arroz               rice
biftek              steak
bilibiz             roasted chick pea
boyo de rayo        cheese cookies
dondurma            ice cream
dondurmas           ice creams
estragalakya        roasted chick pea, white
hamburger           hamburger
kezo                cheese
kezos               cheeses
kofte               meatball
komposto            stew (of fruit)
kompostos           stew (of fruit)
koyadura            salted anchovy (colatura)
krem karamel        cream caramel
marunchinos         almond macaroons
masa                dough
masas               dough
maydanoz            parsley
miel                honey
mina                pastry
minas               pastries
mogados             marzipan
pan espondjado      sponge cake
pandispanya         sponge cake
pasa                raisin
pasta               cake
pastas              cakes
pastel              cake
pasteles            cakes
pasteles            meat pies
pershil             parsley
pimienta            black pepper
pitagra             dried apricot paste sheet
prasifuchi          leek pastry
prasifuchis         leek pastries
sal                 salt
salata              salad
salatas             salads
sesamo              sesame
supa                soup
supas               soups
tomat reynado       meat-filled tomatoes
travados            nut-filled pastry
yelada              ice-cream
yeladas             ice-creams
