Ladino             Spanish
abudaho             hueva seca salada
alburniya           berenjena frita con tomate
alkide              azúcar cande
anchusa             gratinado de espinaca con huevo y queso
arroz               arroz
biftek              bistec
bilibiz             garbanzo tostado
boyo de rayo        bollo con queso rallado
dondurma            helado
dondurmas           helados
estragalakya        garbanzo tostado blanco
hamburger           hamburguesa
kezo                queso
kezos               quesos
kofte               albóndiga
komposto            almíbar
kompostos           almíbares
koyadura            anchoa salada
krem karamel        flan
marunchinos         macarrón de almendras
masa                masa
masas               masas
maydanoz            perejil
miel                miel
mina                empanada
minas               empanadas
mogados             mazapán
pan espondjado      bizcocho
pandispanya         bizcocho
pasa                pasa
pasta               pastel
pastas              pasteles
pastel              pastel
pasteles            pasteles
pasteles            empanadas
pershil             perejil
pimienta            pimienta
pitagra             pasta seca de albericoque
prasifuchi          fritada de puerro
prasifuchis         fritadas de puerro
sal                 sal
salata              ensalada
salatas             ensaladas
sesamo              sésamo
supa                sopa
supas               sopas
tomat reynado       tomates rellenados de carne
travados            pasta rellenada de nuez
yelada              helado
yeladas             helados
