Ladino             Turkish
Inglez              
aleman              Alman, almanca
arabo               arap
arabos              
djudeo-espanyol     Yahudice, Musevice
ebreo               ıbranıce
ebrea               ıbranıce
ebreos              ıbranıce
ebreas              ıbranıce
espanyol            ispanyol
fransez             fransız
ivrit               Ibranice
kasteyano           Ispanyol, Kastilyalı, Ispanyolca
katalan             Katalan
ladino              ladino
latin               latin, latince
portugez            Portekizce
turko               Türkçe
yiddish             yidiş
