Ladino             English
almario             cupboard
almarios            cupboards
espejo              mirror
espejos             mirrors
fotolyo             orchestra seat, armchair
fotolyos            orchestra seats, armchairs
frijider            refrigerator
frijideres          refrigerators
kama                bed, bedding
kamas               bed, bedding
kashon              drawer
kolchon             mattress
lampa               lamp
lampas              lamps
meza                table
mezas               tables
mezika              (little) table
mezikas             (little) tables
orno                oven
ornos               ovens
siya                chair
siyas               chairs
tabure              stool
