Ladino             Spanish
almario             armario
almarios            armarios
espejo              espejo
espejos             espejos
fotolyo             butaca, sillón
fotolyos            butacas, sillónes
frijider            nevera, refrigerador
frijideres          neveras, refrigeradores
kama                cama
kamas               camas
kashon              cajón
kolchon             colchón
lampa               lampara
lampas              lamparas
meza                mesa
mezas               mesas
mezika              
mezikas             
orno                horno
ornos               hornos
siya                silla
siyas               sillas
tabure              taburete
