Ladino             English
israeliano          Israeli
israeliana          Israeli
israelianos         Israelis
israelianas         Israelis
izmirli             from Izmir
izmirlis            from Izmir
olandez             dutch
olandeza            dutch
olandezes           dutch
olandezas           dutch
palestiniano        palestinian
palestiniana        palestinian
palestinianos       palestinians
palestinianas       palestinians
suediano            swedish
suediana            swedish
suedianos           swedish
suedianas           swedish
turkano             of Turkish origin
turkana             of Turkish origin
turkanos            of Turkish origin
turkanas            of Turkish origin
