Ladino             English
arvole              tree
ayre                air, wind, draught
flor                flower
flores              flowers
lago                lake
lagos               lakes
luvya               rain
mar                 sea
montanya            mountain
montanyas           mountains
nuve                cloud
nuves               clouds
plaj                beach
plajas              beaches
rio                 river
rios                rivers
sol                 sun
syelo               sky
