Ladino             English
&#39;Haiti              Haiti
Afganistan          Afghanistan
Alemania            Germany
Aljeria             Algeria
Angola              Angola
Arabia Saudita      Saudi Arabia
Ardjentina          Argentina
Australia           Australia
Austria             Austria
Azerbaydján         Azerbaijan
Bangladesh          Bangladesh
Belarús             Belarus
Beljika             Belgium
Benín               Benin
Bolivia             Bolivia
Bosna               Bosnia
Brazil              Brazil
Bulgaria            Bulgaria
Burkina Faso        Burkina Faso
Burma               Burma
Burundi             Burundi
Chad                Chad
Chekia              Czech Republic
Chile               Chile
Ejipto              Egypt
Ekuador             Ecuador
Emirates Arabos UnidosUnited Arab Emirates
Espanya             Spain
Estados Unidos de AmerikaUnited States
Etiopia             Ethiopia
Filipines           Philippines
Fransia             France
Gana                Ghana
Ginea               Guinea
Gresia              Greece
Guatemala           Guatemala
India               India
Indonezia           Indonesia
Ingletierra         England
Irak                Iraq
Iran                Iran
Israel              Israel
Italya              Italy
Japon               Japan
Jordania            Jordan
Kambodia            Cambodia
Kamerun             Cameroon
Kanada              Canada
Kazahstan           Kazakhstan
Kenia               Kenya
Kina                China
Kolombia            Colombia
Kongo               Kongo
Korea del Norte     North Korea
Korea del Sud       South Korea
Kosta de Marfil     Ivory Coast
Kuba                Cuba
Madagaskar          Madagascar
Makedonia           Macedonia
Malawi              Malawi
Malezia             Malaysia
Mali                Mali
Maroko              Morocco
Meksiko             Mexico
Mozambik            Mozambique
Nepal               Nepal
Nijer               Niger
Nijeria             Nigeria
Olanda              Netherlands
Onduras             Honduras
Pakistan            Pakistan
Perú                Peru
Polonya             Poland
Portugal            Portugal
Repúblika DominikanaDominican Republic
Romania             Romania
Ruanda              Rwanda
Rusia               Russia
Senegal             Senegal
Siria               Syria
Somalia             Somalia
Sri Lanka           Sri Lanka
Sud-Afrika          South Africa
Sudan               Sudan
Sudán del Sud       South Sudan
Suedia              Sweden
Tanzania            Tanzania
Tayland             Thailand
Tayvan              Taiwan
Tunizia             Tunisia
Turkia              Turkey
Uganda              Uganda
Ukrayna             Ukraine
Ungaria             Hungary
Uruguay             Uruguay
Uzbekistan          Uzbekistan
Venezuela           Venezuela
Vietnam             Vietnam
Yemen               Yemen
Zambia              Zambia
Zimbabwe            Zimbabwe
