Ladino             Spanish
&#39;Haiti              Haití
&#39;Hong-Kong          Hong Kong
Afganistan          Afganistán
Albania             Albania
Alemania            Alemania
Aljeria             Argelia
Andora              Andorra
Angola              Angola
Arabia Saudita      Arabia Saudita
Ardjentina          
Armenia             Armenia
Australia           Australia
Austria             Austria
Autoridad PalestinianaAutoridad Palestina
Azerbaydján         Azerbaiyán
Ba&#39;hamas            Bahamas
Bahreyn             Baréin
Bangladesh          Bangladesh
Belarús             Bielorrusia
Beliz               Belice
Beljika             Bélgica
Benín               Benín
Bhutan              Bután
Bolivia             Bolivia
Bosna               
Bosna i &#39;HersegovinaBosnia y Herzegovina
Botswana            Botsuana
Brazil              Brasil
Bruney              Brunéi
Bulgaria            
Burkina Faso        Burkina Faso
Burma               Birmania
Burundi             Burundi
Chad                Chad
Chekia              República Checa
Chile               Chile
Danimarka           Dinamarca
Djibraltar          Gibraltar
Djibuti             Yibuti
Ejipto              Egipto
Ekuador             Ecuador
El Salvador         El Salvador
Emirates Arabos UnidosEmiratos Árabes Unidos
Eritrea             Eritrea
Espanya             
Estados Unidos de AmerikaEstados Unidos
Estonia             Estonia
Etiopia             Etiopía
Fiji                Fiyi
Filipines           Filipinas
Finlandia           Finlandia
Fransia             
Gabon               Gabón
Gambia              Gambia
Gana                Ghana
Ginea               Guinea
Ginea Ekuatorial    Guinea Ecuatorial
Ginea-Bisau         Guinea-Bisáu
Gresia              Grecia
Gronland            Groenlandia
Guatemala           Guatemala
Guyana              Guyana
India               India
Indonezia           Indonesia
Ingletierra         Inglaterra
Irak                Irak
Iran                Irán
Irlanda             Irlanda
Islanda             Islandia
Israel              
Italya              
Izlas Shelomo       Islas Salomón
Izlas Virjines      Islas Vírgenes
Jamaika             Jamaica
Japon               Japón
Jeorjia             Georgia
Jerse               Jersey
Jordania            Jordania
Kabo Vedre          Cabo Verde
Kambodia            Camboya
Kamerun             Camerún
Kanada              Canadá
Katar               Catar
Kazahstan           Kazajistán
Kenia               Kenia
Kibris              Chipre
Kina                China
Kina                Libia
Kirgizstán          Kirguistán
Kolombia            Colombia
Komoros             Comoras
Kongo               Kongo
Kongo-Brazzaville   República del Congo, Congo-Brazzaville
Korea del Norte     Corea del Norte
Korea del Sud       Corea del Sur
Kosovo              Kosovo
Kosta Rika          Costa Rica
Kosta de Marfil     Costa de Marfil
Kroasia             Croacia
Kuba                Cuba
Kuveyt              Kuwait
Laos                Laos
Lesoto              Lesoto
Letonia             Letonia
Liban               Líbano
Liberia             Liberia
Lihtenshtayn        Liechtenstein
Litvania            Lituania
Luksemburg          Luxemburgo
Madagaskar          Madagascar
Makau               Macao
Makedonia           Macedonia
Malawi              Malawi
Maldivas            Maldivas
Malezia             Malasia
Mali                Malí
Malta               Malta
Maroko              Marruecos
Masedonia           Macedonia del Norte
Maurisius           Mauricio
Mauritania          Mauritania
Meksiko             Méksiko
Moldavia            Moldavia
Monako              Mónaco
Mongolia            Mongolia
Montenegro          Montenegro
Mozambik            Mozambique
Mueva Zelanda       Nueva Zelanda
Namibia             Namibia
Nepal               Nepal
Nijer               Níger
Nijeria             Nigeria
Nikaragua           Nicaragua
Norvejia            Noruega
Olanda              Países Bajos
Oman                Omán
Onduras             Honduras
Pakistan            Pakistán
Panama              Panamá
Papua-Mueva-Ginea   Papúa Nueva Guinea
Paraguay            Paraguay
Perú                Perú
Polonya             
Portugal            Portugal
Puerto Riko         Puerto Rico
Repúblika DominikanaRepública Dominicana
Repúblika Sentro-AfrikanaRepública Centroafricana
Romania             Rumania
Ruanda              Ruanda
Rusia               Rusia
Sahara Oksidental   República Árabe Saharaui Democrática
San Marino          San Marino
Santa Elena         Isla Santa Elena
Senegal             Senegal
Serbia              Serbia
Sierra Leone        Sierra Leona
Singapur            Singapur
Siria               Siria
Slovakia            Eslovaquia
Slovenia            Eslovenia
Somalia             Somalia
Sri Lanka           Sri Lanka
Sud-Afrika          Sudáfrica
Sudan               Sudán
Sudán del Sud       Sudán del Sur
Suedia              
Suisa               Suiza
Surinam             Surinam
Swaziland           Suazilandia
Tadjikistan         Tayikistán
Tanzania            Tanzania
Tayland             Tailandia
Tayvan              Taiwán
Timor Este          Timor Oriental
Trinidad i Tobago   Trinidad y Tobago
Tunizia             Túnez
Turkia              Turquía
Turkmenistan        Turkmenistán
Uganda              Uganda
Ukrayna             Ucrania
Ungaria             Hungría
Uruguay             Uruguay
Uzbekistan          Uzbekistán
Vatikán             Ciudad del Vaticano
Venezuela           Venezuela
Vietnam             Vietnam
Yemen               Yemen
Zambia              Zambia
Zimbabwe            Zimbabue
