Ladino             Spanish
aktor               actor
aktores             actores
aktrisa             actriz
aktrisas            actrizas
ambasador           embajador
arkitekto           arquitecto
arkitekta           arquitecta
arkitektos          arquitectos
arkitektas          arquitectas
avokato             abogado
avokata             abogada
avokatos            abogados
avokatas            abogadas
bankero             banchero
bankera             banchera
bankeros            bancheros
bankeras            bancheras
baylador            bailarín
bayladera           bailarina
bayladores          bailarín
bayladeras          bailarinas
bibliotekario       bibliotecario
bibliotekaria       bibliotecaria
bibliotekarios      bibliotecarios
bibliotekarias      bibliotecarias
chadirdjis          
dientisto           dentista
dientista           dentista
dientistos          dentistas
dientistas          dentistas
direktor            director, empresario
direktora           directora, empresaria
direktores          directores, empresarios
direktoras          directoras, empresarias
djoranalisto        periodista
djoranalista        periodista
djoranalistos       periodistas
djoranalistas       periodistas
djoyero             joyero
doktor              doctor
doktora             doctora
doktores            doctores
doktoras            doctoras
enfermero           enfermero
enfermera           enfermera
enfermeros          enfermeros
enfermeras          enfermeras
eskultor            escultor
eskultora           escultora
eskultores          escultores
eskultoras          escultoras
frutero             frutería
garson              camarero
garsona             camarera
garsones            camareros
giador              guía
giadora             guía
guia                guía
guias               guías
hamal               portador
hamala              portadora
hamales             portadores
hamalas             portadoras
kantador            cantor
kantadera           cantora
kantadores          cantors
kantaderas          cantoras
kasap               carnicero
komediante          cómico, comediante
komediantes         cómicos, comediantes
komersante          comerciante
kompozitor          compositor
kompozitora         compositora
kompozitores        compositores
kompozitoras        compositoras
ladron              ladrón
ladrona             ladrona
ladrones            ladrones
ladronas            ladronas
mafyonero           mafioso
mediko              médico
medika              médica
medikos             médicos
medikas             médicas
moso                criada, mozo
mosa                criada, moza
mosos               criadas, mozos
mosas               criadas, mozas
orero               relojero
orera               relojera
oreros              relojeros
oreras              relojeras
paylacho            payaso
paylachos           payasos
peshkador           pescador
peshkadora          pescadora
peshkadores         pescadores
peshkadoras         pescadoras
pilot               piloto
pilota              pilota
pilotes             pilotos
pilotas             pilotas
pintador            pintor
pintadora           pintora
pintadores          pintores
pintadoras          pintoras
profesor            profesor
profesora           profesora
profesores          profesores
profesoras          profesoras
redaktor            editor
redaktora           editora
redaktores          editores
redaktoras          editoras
shofor              chofer
shofores            choferes
sientista           científico, científica
sientistas          científicos, científicas
spiker              locutor
spikeres            locutores
tanyedor            músico
tanyedora           música
tanyedores          músicos
tanyedoras          músicas
traduktor           traductor
traduktora          traductora
traduktores         traductores
traduktoras         traductoras
vendedor            vendedor
vendedora           vendedora
vendedores          vendedores
vendedoras          vendedoras
veterinaro          veterinario
veterinara          veterinaria
veterinaros         veterinarios
veterinaras         veterinarias
yaurtchi            vendedor de yogurt
