Ladino             English
Islam               Islam
djudaismo           judaism
djudio              Jew
djudia              Jew
djudios             Jews
djudias             Jews
katoliko            catholic
katolika            catholic
katolikos           catholics
katolikas           catholics
kristianizmo        christianity
kristiano           christian
kristiana           christian
kristianos          christians
kristianas          christians
musulmano           muslim
musulmana           muslim
musulmanos          muslims
musulmanas          muslims
