Ladino             Spanish
Islam               islam
djudaismo           judaísmo
djudio              judío
djudia              judía
djudios             judíos
djudias             judías
katoliko            católico
katolika            católica
katolikos           católicos
katolikas           católicas
kristianizmo        cristiandad
kristiano           cristiano
kristiana           cristiana
kristianos          cristianos
kristianas          cristianas
musulmano           musulmán
musulmana           musulmána
musulmanos          musulmános
musulmanas          musulmánas
