Ladino             English
bluza               blouse
bluzas              blouses
boton               button
botones             buttons
chapin              shoe
chapines            shoes
chizme              boot
chizmes             boots
djaketa             jacket
djaketas            jackets
empermeable         raincoat
esharpa             scarf
esharpas            scarfs
fostan              dress
fostanes            dresses
fusta               skirt
fustas              skirts
guantes             gloves
kalsa               sock
kalsas              socks
kalsado             shoe
kalsados            shoes
kamiza              shirt
kamizas             shirts
kamizeta            t-shirt
kamizetas           t-shirts
kanyamazo           rag, cloth
kasketa             baseball hat
kasketas            baseball hats
kombinezon          petticoat
komple              costume, suit
kundurya            shoe
kushak              belt
mayo                swimsuit
mayos               swimsuits
mortaja             shroud
mortajas            shrouds
panatalon           trouser
panatalones         trousers, pants
pantofla            slipper
panyo               piece of cloth
pardesu             over-coat
pulover             sweather
puloveres           sweathers
ropa interior       underware
sapato              slipper
sapatos             slippers
shal                shawl
shales              shawls
sutien              bra
takia               cap
takias              caps
triko               jersey, sweater
vestido             clothing, suit
vestidos            clothing, suits
