Ladino             English
chanaka             pot
chanakas            pots
chini               plate
djarro              jug
djarros             jugs
kuchara             spoon
kucharas            spoons
kuchiyo             knife
kuchiyos            knifes
kupa                glass, tumbler
kupas               glasses, tumblers
mantel              tablecloth
manteles            tableclothes
piron               fork
pirones             forks
plato               plate, dish
platos              plates, dishes
vazo                vase, glass
vazos               vases, glasses
