Ladino             Spanish
chanaka             cáliz
chanakas            cálizes
chini               plato
djarro              jarro
djarros             jarros
kuchara             cuchara
kucharas            cucharas
kuchiyo             cuchillo
kuchiyos            cuchillos
kupa                vaso
kupas               vasos
mantel              mantel
manteles            manteles
piron               tenedor
pirones             tenedores
plato               plato
platos              platos
vazo                florero
vazos               floreros
