Ladino             Spanish
araba               coche, carro
arabas              coches, carros
avion               avión
aviones             aviónes
barka               barca
barka motorizada    motora
barko               barca
barkos              barcas
bisikleta           bicicleta
bisikletas          bicicletas
funikular           funicular
funikulares         funiculares
helikopter          helicóptero
helikopteros        helicópteros
instrumento de lokomosionvehículo
kamion              camión
kamiones            camiones
kamioneta           camioneta
kamionetas          camionetas
karosa              carroza
karosas             carrozas
koche               coche
koches              coches
metro               metro
mobilet             ciclomotor
motosikleta         motocicleta
motosikletas        motocicletas
nave                barco
otobus              autobús, autocar
otobuses            autobúses, autocar
otomobil            carro, automóvil
otomobiles          carros, automóviles
parashut            paracaídas
parashutes          paracaídas
puset               cochecito
pusetes             cochecitos
shayna              trineo
sumarino            submarino
sumarinos           submarinos
taksi               taxi
taksis              taxis
teleferik           teleférico
teleferikos         teleféricos
tractor             tractor
tramvay             tranvía
tramvayes           tranvías
treno               tren
trenos              trenes
trotinet            scooter
vapor               vapor
