Ladino             Spanish
anchua              anchoa
asparago            espárrago
ava                 judía blanca
ava freska          habicuela, judía
barbunya fasulya    habichuela rosa
berendjena          berenjena
hohombro            cohombre
karota              zanahoria
karotas             zanahorias
kartof              papa, patata
kol                 col, repollo
kuchundurya         coliflor
kulupiya            coliflor
mais                maíz
misir               maíz
patata              papa, patata
patatas             papas, patatas
prasa               puerro
prasas              puerros
safanorya           zanahoria
safanoryas          zanahorias
sevoya              cebolla
shampinyon          champiñón
tomat               tomate
