Ladino             Spanish
dondurma            helado
dondurmas           helados
hamburger           hamburguesa
pan espondjado      bizcocho
pandispanya         bizcocho
pasa                pasa
pasta               pastel
pastas              pasteles
pastel              pastel
pasteles            pasteles
pershil             perejil
pimienta            pimienta
pitagra             pasta seca de albericoque
prasifuchi          fritada de puerro
prasifuchis         fritadas de puerro
sal                 sal
salata              ensalada
salatas             ensaladas
sesamo              sésamo
supa                sopa
supas               sopas
tomat reynado       tomates rellenados de carne
travados            pasta rellenada de nuez
yelada              helado
