Ladino             English
bokal               bottle
bokales             bottles
bolsa               pouch
bolsas              pouches
bota                barrel
botas               barrels
chaylik             teapot, kettle
djarro              jug
djarros             jugs
findjan             cup
findjanes           cups
kantaro             pitcher
kantaros            pitchers
kupa                glass, tumbler
kupas               glasses, tumblers
papelera            paper bin
papeleras           paper bins
redoma              bottle
redomas             bottles
sako                sack
sakos               sacks
tasa                cup
tasas               cups
tubo                tube
tubos               tubes
varil               barrel
variles             barrels
vazo                vase, glass
vazos               vases, glasses
