Ladino             Spanish
ambasador           embajador
avokato             abogado
avokata             abogada
avokatos            abogados
avokatas            abogadas
baylador            bailarín
bayladera           bailarina
bayladores          bailarín
bayladeras          bailarinas
djoyero             joyero
doktor              doctor
doktora             doctora
doktores            doctores
doktoras            doctoras
enfermero           enfermero
enfermera           enfermera
enfermeros          enfermeros
enfermeras          enfermeras
frutero             frutería
garson              camarero
garsona             camarera
garsones            camareros
kantador            cantor
kantadera           cantora
kantadores          cantors
kantaderas          cantoras
kasap               carnicero
komersante          comerciante
mediko              médico
medika              médica
medikos             médicos
medikas             médicas
moso                criada, mozo
mosa                criada, moza
mosos               criadas, mozos
mosas               criadas, mozas
paylacho            payaso
paylachos           payasos
pintador            pintor
pintadora           pintora
pintadores          pintores
pintadoras          pintoras
profesor            profesor
profesora           profesora
profesores          profesores
profesoras          profesoras
shofor              chofer
shofores            choferes
sientista           científico, científica
sientistas          científicos, científicas
spiker              locutor
spikeres            locutores
tanyedor            músico
tanyedora           música
tanyedores          músicos
tanyedoras          músicas
traduktor           traductor
traduktora          traductora
traduktores         traductores
traduktoras         traductoras
veterinaro          veterinario
veterinara          veterinaria
veterinaros         veterinarios
veterinaras         veterinarias
yaurtchi            vendedor de yogurt
