Ladino             Turkish
ambasador           büyük elçi
avokato             avukat
avokata             avukat
avokatos            avukat
avokatas            avukat
baylador            dansör
bayladera           dansöz
bayladores          dansör
bayladeras          dansöz
djoyero             kuyumcu
doktor              doktor
doktora             doktor
doktores            doktor
doktoras            doktor
enfermero           hasta
enfermera           hasta
enfermeros          hastalar
enfermeras          hastalar
frutero             meyvaci
garson              garson
garsona             garson
garsones            garson
kantador            şarkıcı
kantadera           şarkıcı
kantadores          şarkıcı
kantaderas          şarkıcı
kasap               kasap
komersante          tüccar
mediko              doktor
medika              doktor
medikos             doktor
medikas             doktor
moso                hizmetçi
mosa                hizmetçi
mosos               hizmetçi
mosas               hizmetçi
paylacho            palyaço
paylachos           palyaço
profesor            öğretmen
profesora           öğretmen
profesores          öğretmenler
profesoras          öğretmenler
shofor              şoför
shofores            şoför
spiker              spiker
spikeres            spiker
traduktor           tercüman
traduktora          tercüman
traduktores         tercüman
traduktoras         tercüman
veterinaro          
veterinara          
veterinaros         
veterinaras         
yaurtchi            yoğurtçu
