Ladino             English
boka                mouth
bokas               mouthes
braso               arm
brasos              arms
dedo                finger
dedos               fingers
diente              tooth
dientes             teeth
diz                 knee
dizes               knees
espalda             back
espaldas            backs
estomago            stomach
frente              forehead
garganta            neck
gargantas           necks
garon               throat
kara                cheek, face, side
kavesa              head
kavesas             heads
korason             heart
korasones           hearts
kovdo               elbow
kovdos              elbows
ligado              liver
ligados             livers
luenga              tongue
luengas             tongues
mano                hand
manos               hands
meoyo               brain
mustacho            moustache
mustachos           moustaches
nariz               nose
ojo                 eye
ojos                eyes
oreja               ear
orejas              ears
oyido               ear
oyidos              ears
pelo                hair, coat (animal), whiskers, bristle
pie                 foot
pies                feet
pulmon              lung
pulmones            lungs
