Ladino             English
bluza               blouse
bluzas              blouses
chapin              shoe
chapines            shoes
djaketa             jacket
djaketas            jackets
fostan              dress
fostanes            dresses
fusta               skirt
fustas              skirts
guantes             gloves
kalsado             shoe
kalsados            shoes
kamiza              shirt
kamizas             shirts
takia               cap
takias              caps
triko               jersey, sweater
vestido             clothing, suit
vestidos            clothing, suits
